surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
45.0,Jardins d'el Menzah,1.0,1.0,0,0,0,0,0,1,1,170000.0
100.0,Tunis Belvedere,2.0,1.0,0,0,0,0,1,1,0,240000.0
40.0,Cite Ennasr 2,1.0,1.0,0,0,0,0,0,1,0,165000.0
40.0,Cite Oplympique,1.0,1.0,0,0,0,0,0,0,0,130000.0
28.0,El Menzah 1,0.0,1.0,0,0,0,0,0,0,0,115000.0
120.0,El Manar 1,3.0,1.0,1,0,0,0,1,1,1,220000.0
140.0,Cite El Ghazala 1,3.0,1.0,1,0,0,0,1,1,1,240000.0
120.0,Habib Thameur,4.0,1.0,0,0,0,1,1,0,0,200000.0
140.0,Cite Ennasr 2,3.0,2.0,1,0,0,1,1,1,1,400000.0
105.0,El Aouina,2.0,1.0,1,0,0,0,1,1,0,370000.0
136.0,El Aouina,4.0,1.0,1,0,0,0,1,0,0,620000.0
66.0,Chotrana 1,1.0,1.0,0,0,0,0,1,1,0,155000.0
106.0,Douar Hicher,2.0,1.0,0,0,0,0,1,1,1,72000.0
140.0,Berge Du Lac,3.0,3.0,1,0,1,0,1,1,1,100000.0
106.0,Cite El Boustene 2,2.0,1.0,1,0,0,0,1,1,0,250000.0
144.0,Salambo,3.0,2.0,0,0,0,1,1,1,1,380000.0
90.0,La Goulette,2.0,1.0,1,0,0,0,0,1,1,350000.0
117.0,Ain Zaghouan,2.0,2.0,1,0,0,0,1,1,0,406000.0
140.0,La Soukra,3.0,1.0,1,0,0,1,1,1,0,485000.0
87.0,La Mannouba,2.0,1.0,0,0,0,0,0,0,0,160000.0
117.0,Ain Zaghouan,2.0,2.0,1,0,0,1,1,1,1,460000.0
124.0,El Menzah 9,3.0,1.0,0,0,0,0,1,1,0,435750.0
140.0,Cite Du Jardin,3.0,1.0,0,0,0,0,0,0,0,170000.0
123.0,La Mannouba,3.0,2.0,0,0,0,0,0,1,1,290000.0
106.0,Cite Ennasr 2,2.0,2.0,1,0,0,0,1,1,1,365000.0
157.0,El Aouina,4.0,2.0,1,0,0,0,1,1,1,400000.0
174.0,El Menzah 9,4.0,1.0,0,0,0,0,1,1,0,609000.0
130.0,Marsa Safsaf,2.0,1.0,0,0,1,0,1,1,0,1500000.0
70.0,Le Kram,1.0,1.0,0,0,0,0,1,0,0,230000.0
130.0,La Mannouba,3.0,1.0,1,0,0,0,1,1,1,280000.0
127.0,El Menzah 9,2.0,2.0,1,0,1,0,1,1,1,470000.0
166.0,Jardins de Carthage,3.0,3.0,1,0,0,0,1,1,1,748000.0
136.0,Jardins de Carthage,4.0,2.0,1,0,0,0,1,1,0,850000.0
136.0,El Aouina,4.0,1.0,1,0,0,0,1,1,1,385000.0
43.0,Ain Zaghouan,0.0,1.0,0,0,0,0,0,0,0,120000.0
125.0,Gammart,2.0,1.0,0,0,0,0,1,1,0,375000.0
