category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,2.0,1.0,144.0,À Vendre,430000.0,Ariana,La Soukra,5.633468455579586
Appartements,3.0,1.0,110.0,À Vendre,120000.0,Ariana,Ariana,5.079181246047625
Appartements,3.0,1.0,150.0,À Vendre,320000.0,Ariana,Ennasr,5.505149978319906
Appartements,3.0,1.0,140.0,À Vendre,290000.0,Ariana,Ghazela,5.4623979978989565
Appartements,3.0,2.0,96.0,À Vendre,220000.0,Ariana,Ariana Ville,5.342422680822207
Appartements,2.0,1.0,100.0,À Vendre,220000.0,Ariana,Ariana,5.342422680822207
Appartements,1.0,1.0,70.0,À Vendre,195000.0,Ariana,La Soukra,5.290034611362518
Appartements,2.0,2.0,116.0,À Vendre,310000.0,Ariana,Chotrana,5.491361693834273
Appartements,4.0,2.0,222.0,À Vendre,530000.0,Ariana,Ennasr,5.724275869600789
Appartements,3.0,2.0,170.0,À Vendre,415000.0,Ariana,Ennasr,5.6180480967120925
Appartements,3.0,2.0,200.0,À Vendre,530000.0,Ariana,Ennasr,5.724275869600789
Appartements,2.0,1.0,105.0,À Vendre,205000.0,Ariana,Ghazela,5.311753861055754
Appartements,3.0,2.0,112.0,À Vendre,260000.0,Ariana,Autres villes,5.414973347970818
Appartements,3.0,1.0,138.0,À Vendre,280000.0,Ariana,Autres villes,5.447158031342219
Appartements,3.0,2.0,170.0,À Vendre,375000.0,Ariana,Autres villes,5.574031267727719
Appartements,2.0,1.0,80.0,À Vendre,120000.0,Ariana,Autres villes,5.079181246047625
Appartements,2.0,1.0,106.0,À Vendre,240000.0,Ariana,La Soukra,5.380211241711606
Appartements,3.0,1.0,113.0,À Vendre,220000.0,Ariana,La Soukra,5.342422680822207
Appartements,1.0,1.0,31.0,À Vendre,95000.0,Ariana,Raoued,4.977723605288848
Appartements,2.0,1.0,94.0,À Vendre,130000.0,Ariana,Ghazela,5.113943352306837
Appartements,2.0,1.0,105.0,À Vendre,215000.0,Ariana,Ghazela,5.332438459915605
Appartements,3.0,1.0,100.0,À Vendre,107000.0,Ariana,Borj Louzir,5.02938377768521
Appartements,3.0,2.0,153.0,À Vendre,230000.0,Ariana,Autres villes,5.361727836017593
Appartements,4.0,3.0,157.0,À Vendre,360000.0,Ariana,Ennasr,5.556302500767287
Appartements,3.0,3.0,200.0,À Vendre,485000.0,Ariana,Ennasr,5.685741738602264
Appartements,3.0,2.0,150.0,À Vendre,395000.0,Ariana,Ennasr,5.596597095626461
Appartements,3.0,1.0,75.0,À Vendre,120000.0,Ariana,Autres villes,5.079181246047625
Appartements,3.0,2.0,205.0,À Vendre,350000.0,Ariana,Ghazela,5.544068044350276
Appartements,2.0,1.0,105.0,À Vendre,220000.0,Ariana,Ennasr,5.342422680822207
Appartements,2.0,2.0,205.0,À Vendre,350000.0,Ariana,Ghazela,5.544068044350276
Appartements,2.0,1.0,111.0,À Vendre,220000.0,Ariana,Ennasr,5.342422680822207
Appartements,2.0,1.0,63.0,À Vendre,175000.0,Ariana,Autres villes,5.243038048686294
Appartements,3.0,2.0,169.0,À Vendre,360000.0,Ariana,Ennasr,5.556302500767287
Appartements,3.0,2.0,130.0,À Vendre,245000.0,Ariana,Ariana,5.389166084364533
Appartements,3.0,2.0,135.0,À Vendre,335000.0,Ariana,Ariana Ville,5.525044807036846
Appartements,2.0,1.0,109.0,À Vendre,110000.0,Ariana,Autres villes,5.041392685158225
Appartements,3.0,2.0,140.0,À Vendre,260000.0,Ariana,La Soukra,5.414973347970818
Appartements,3.0,2.0,110.0,À Vendre,165000.0,Ariana,Autres villes,5.217483944213907
Appartements,4.0,1.0,78.0,À Vendre,155000.0,Ariana,Autres villes,5.190331698170292
Appartements,3.0,1.0,170.0,À Vendre,405000.0,Ariana,La Soukra,5.607455023214668
Appartements,3.0,3.0,140.0,À Vendre,360000.0,Ariana,Autres villes,5.556302500767287
Appartements,3.0,1.0,76.0,À Vendre,115000.0,Ariana,La Soukra,5.060697840353612
Appartements,2.0,1.0,75.0,À Vendre,98000.0,Ariana,Borj Louzir,4.991226075692495
Appartements,3.0,2.0,126.0,À Vendre,250000.0,Ariana,Autres villes,5.3979400086720375
Appartements,2.0,1.0,120.0,À Vendre,270000.0,Ariana,Ennasr,5.431363764158987
Appartements,2.0,1.0,75.0,À Vendre,120000.0,Ariana,Mnihla,5.079181246047625
Appartements,1.0,1.0,60.0,À Vendre,155000.0,Ariana,Ennasr,5.190331698170292
Appartements,3.0,1.0,135.0,À Vendre,345000.0,Ariana,Ennasr,5.537819095073274
Appartements,3.0,1.0,154.0,À Vendre,320000.0,Ariana,La Soukra,5.505149978319906
