category,room_count,bathroom_count,size,type,price,city,region
Appartements,2.0,1.0,80.0,À Vendre,120000.0,3,62
Appartements,3.0,1.0,70.0,À Vendre,290000.0,3,74
Appartements,2.0,1.0,100.0,À Vendre,160000.0,3,41
Appartements,2.0,1.0,90.0,À Vendre,125000.0,3,59
Appartements,4.0,2.0,230.0,À Vendre,250000.0,3,64
Appartements,2.0,1.0,100.0,À Vendre,115000.0,3,62
Appartements,4.0,2.0,175.0,À Vendre,140000.0,3,64
Appartements,2.0,1.0,80.0,À Vendre,107000.0,3,58
Appartements,3.0,2.0,214.0,À Vendre,290000.0,3,21
Appartements,2.0,1.0,90.0,À Vendre,145000.0,3,76
Appartements,4.0,2.0,175.0,À Vendre,260000.0,3,21
Appartements,3.0,2.0,170.0,À Vendre,165000.0,3,62
Appartements,2.0,1.0,98.0,À Vendre,150000.0,3,64
Appartements,2.0,1.0,75.0,À Vendre,125000.0,3,76
Appartements,2.0,1.0,85.0,À Vendre,120000.0,3,76
Appartements,3.0,1.0,110.0,À Vendre,150000.0,3,76
Appartements,2.0,1.0,80.0,À Vendre,110000.0,3,76
Appartements,3.0,1.0,80.0,À Vendre,115000.0,3,58
Appartements,4.0,2.0,200.0,À Vendre,300000.0,3,76
Appartements,3.0,1.0,90.0,À Vendre,140000.0,3,58
Appartements,3.0,1.0,140.0,À Vendre,168000.0,3,41
Appartements,3.0,1.0,100.0,À Vendre,850000.0,3,76
Appartements,3.0,1.0,85.0,À Vendre,165000.0,3,58
Appartements,3.0,1.0,94.0,À Vendre,105000.0,3,76
Appartements,2.0,1.0,113.0,À Vendre,169000.0,3,49
Appartements,3.0,1.0,120.0,À Vendre,98000.0,3,74
Appartements,2.0,1.0,100.0,À Vendre,99000.0,3,64
Appartements,2.0,1.0,95.0,À Vendre,129000.0,3,69
Appartements,2.0,1.0,90.0,À Vendre,120000.0,3,58
Appartements,2.0,1.0,108.0,À Vendre,169000.0,3,49
Appartements,1.0,1.0,63.0,À Vendre,100000.0,3,69
Appartements,2.0,1.0,70.0,À Vendre,120000.0,3,76
Appartements,3.0,1.0,130.0,À Vendre,229000.0,3,49
Appartements,2.0,1.0,75.0,À Vendre,105000.0,3,76
Appartements,2.0,1.0,90.0,À Vendre,98000.0,3,69
Appartements,2.0,1.0,67.0,À Vendre,120000.0,3,58
Appartements,1.0,1.0,120.0,À Vendre,270000.0,3,76
