,Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
283,ben arous,megrine,Megrine,Sale,2-room apartment,45.0,80000.0,26/10/2023
284,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,130.0,220000.0,19/10/2023
285,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,185.0,525000.0,01/12/2023
286,ariana,soukra,La Soukra,Sale,4-room apartment,180.0,485000.0,16/08/2023
287,tunis,menzah,El Menzah,Sale,4-room apartment,100.0,220000.0,31/10/2023
288,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,140.0,285000.0,14/04/2023
289,ariana,soukra,La Soukra,Sale,4-room apartment,220.0,620000.0,11/05/2023
290,tunis,cite el khadra,Cite El Khadra,Sale,5-room apartment and more,178.0,385000.0,27/05/2023
291,tunis,marsa,La Marsa,Sale,2-room apartment,78.0,215000.0,01/09/2023
292,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,187.0,467000.0,05/12/2023
294,ben arous,mourouj,El Mourouj,Sale,3-room apartment,100.0,200000.0,06/09/2023
295,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,180.0,400000.0,31/10/2023
296,tunis,sidi el bechir,Sidi El Bechir,Sale,3-room apartment,98.0,200000.0,14/04/2022
297,tunis,marsa,La Marsa,Sale,2-room apartment,129.0,370000.0,22/05/2023
298,ariana,soukra,La Soukra,Sale,5-room apartment and more,400.0,1150000.0,03/11/2023
299,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,64.0,179000.0,02/11/2023
300,manouba,mannouba,Mannouba,Sale,3-room apartment,93.0,180000.0,02/11/2023
301,ben arous,mourouj,El Mourouj,Sale,3-room apartment,128.0,192000.0,20/11/2023
302,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,110.0,300000.0,02/10/2023
303,ariana,soukra,La Soukra,Sale,3-room apartment,109.0,160000.0,01/11/2023
